"","X1","x","y","z","t","semb","unc_x","unc_y","unc_z","well","stage","ampc","snrc","mw","m0","mti_strike","mti_dip","class_well","class_stage","t_scale","x_scale","y_scale","z_scale","bool","cluster"
"1",1,4622.92978510922,3594.26883562294,-2332.13,32.3330124539992,0.159023,1.81493,2.07891,9.34311,7,17,81.34695235,6.059095399,2.3,2.82e+12,251.945,78.7082,8,7,2.64434076825427,2.30370729352946,1.22340522045382,0.990397147698945,1,"8_7_OUT2"
"2",2,4646.51179626178,3598.26398893666,-2384.5,32.3330573839998,0.1875,2.84519,3.36384,14.1399,7,17,69.19698184,7.403202566,2.3,2.82e+12,258.428,48.2436,8,7,2.64434444283401,2.32918598825443,1.22718436689661,0.405395079988906,1,"8_7_OUT2"
"3",3,4122.70123489443,3062.12148530538,-2324.22,36.0507533099999,0.124489,0.950396,0.951908,5.64713,5,22,4619.172427,45.19651796,1.9,7.08e+11,270.084,81.0306,8,10,2.94839451905507,1.76324573403037,0.720029603029752,1.07875625320948,1,"8_10_OUT1"
"4",4,4041.31324437987,3013.40182808161,-2399.17,37.189534282,0.19125,0.91266,1.33872,19.2209,6,10,4780.062875,54.32832991,1.9,7.08e+11,238.889,49.9542,6,10,3.04152920468501,1.67531176812797,0.67394408269207,0.241523009465585,1,"6_10_OUT1"
"5",5,4131.13701879398,3066.41362346719,-2323.72,36.4051090970001,0.132895,1.05784,1.52062,6.787,7,23,513.851253,45.02834929,1.8,5.01e+11,243.562,45.6147,8,10,2.97737534647919,1.77236000173859,0.724089677172715,1.08434153168676,1,"8_10_OUT2"
"6",6,4112.39868909253,3038.48290561032,-2294.39,36.4052130090004,0.107254,2.90282,2.15214,5.74166,7,23,90.09144063,8.09588209,1.8,5.01e+11,270.557,86.336,8,10,2.97738384487504,1.75211456215201,0.697669095847056,1.41197396716385,1,"8_10_OUT2"
"7",7,4234.55845661033,3141.18309450984,-2340.81,40.2734818520011,0.124385,0.883085,1.68797,2.05916,8,15,3426.705691,54.06531336,1.8,5.01e+11,263.816,75.7965,8,14,3.29374845886415,1.8840995486794,0.794816570068272,0.89343671333341,1,"8_14_OUT1"
"8",8,4582.65298285282,3678.38625831291,-2296.14,30.5796809029993,0.087361,1.03322,1.91168,3.16205,7,15,2752.912471,48.58658333,1.6,2.51e+11,254.403,76.0722,8,5,2.5009453420727,2.2601910581011,1.30297464715004,1.39242549249338,1,"8_5_OUT1"
"9",9,4778.3447845462,3670.07775363397,-2294.57,37.090027592999,0.106395,0.837338,0.935198,2.79147,6,10,2425.418757,5.554120413,1.6,2.51e+11,259.181,85.4582,6,9,3.03339109522757,2.47162220548159,1.29511536030001,1.40996326691203,1,"6_9_OUT1"
"10",10,2026.8367354575,1740.53891126772,-2164.6,34.3149114810013,0.262858,0.407512,0.303815,3.73811,5,19,2667.057125,42.272313,1.5,1.78e+11,122.279,87.2781,5,19,2.80642948185995,-0.501187584255975,-0.530098662733665,2.86180055429553,0,"5_19_HF1"
"11",11,1901.32528179689,1732.40718328408,-2150.82,34.3231392820014,0.305215,0.348939,0.248443,1.65674,5,19,2842.989282,38.99545139,1.5,1.78e+11,122.356,86.621,5,19,2.80710238883541,-0.636793830543363,-0.537790730714548,3.01573082912929,0,"5_19_HF1"
