"","n_total","n_is","n_hf","mean_strike_is","mean_strike_hf"
"1",474,83,391,185.385364264094,175.406547250292
"2",499,88,411,216.196855768609,181.517967485758
"3",492,86,406,200.631150561463,176.119077004812
"4",479,88,391,185.671929481694,179.156693301317
"5",483,82,401,194.168815405618,172.303010444238
"6",483,90,393,196.528167199236,181.979249043111
"7",481,77,404,185.617412610781,169.700150210259
"8",481,86,395,193.816714216207,172.1015833359
"9",469,84,385,201.054025506779,174.49516443161
"10",475,85,390,197.230580667223,177.316002970572
"11",481,82,399,189.92216759936,175.126055957512
"12",503,92,411,188.274358373276,173.285592433221
"13",491,87,404,199.507145577372,176.338044224053
"14",490,87,403,195.045490124325,174.476820066013
"15",486,83,403,186.17428416818,175.297698903556
"16",471,84,387,188.305706927818,173.377017725762
"17",494,85,409,197.153698104673,176.429652446657
"18",490,82,408,190.330250122933,173.52798726027
"19",500,82,418,201.199055262538,182.210624693001
"20",468,82,386,197.89941744564,179.306268063435
"21",501,87,414,196.872706136194,176.85950185586
"22",480,81,399,197.038997764014,172.741496919112
"23",500,86,414,206.982923517075,180.386228358186
"24",493,84,409,188.56523015278,175.724791533732
"25",486,90,396,205.390868666842,182.334676387429
"26",468,80,388,202.642348228471,177.511664457047
"27",486,92,394,194.677964794007,178.791697225883
"28",499,88,411,193.764642188501,175.476261795534
"29",486,87,399,185.469771270707,181.502783475776
"30",481,84,397,196.956867913456,179.922095633343
"31",498,84,414,198.186637373122,176.024102068061
"32",478,83,395,200.353906644084,173.604551079487
"33",486,90,396,195.949944807838,172.411345808408
"34",480,83,397,200.828638190962,174.318400082622
"35",492,81,411,189.102514146579,179.698832663614
"36",476,77,399,198.203353615351,175.435909099558
"37",471,77,394,186.110769227709,176.139528385508
"38",486,87,399,185.450649838593,173.209138866425
"39",480,82,398,193.822833582949,178.672355480208
"40",500,86,414,199.858834567036,181.378382648372
"41",496,89,407,192.174547610768,171.537841958126
"42",503,91,412,211.484846770118,177.776853230783
"43",477,81,396,200.251232139803,178.284880058818
"44",485,90,395,192.961403572423,176.820163117338
"45",481,85,396,187.247825073794,176.862613899004
"46",481,89,392,192.839656884467,175.523509309511
"47",497,92,405,190.542572845294,179.909995877403
"48",474,79,395,187.165329069521,180.523148110241
"49",485,84,401,208.144099485635,172.921672160049
"50",481,86,395,195.314364205246,172.624673938406
"51",499,86,413,197.650115477211,175.393443240776
"52",482,83,399,196.623250791026,180.237232606475
"53",497,92,405,186.719769467749,180.546861106981
"54",469,88,381,193.948589359537,174.814691731708
"55",496,89,407,195.572976183633,177.425655799108
"56",485,91,394,190.763762205625,180.127147129442
"57",469,82,387,193.960580634926,173.233294509909
"58",486,90,396,201.914701463697,169.387314387283
"59",490,90,400,190.598951220969,178.787636559868
"60",478,90,388,201.863406396239,175.812535621434
"61",488,96,392,188.952989834806,174.193842504746
"62",493,84,409,186.180124116638,173.859943494079
"63",477,87,390,185.29534120312,175.037194176923
"64",481,84,397,186.688526373474,181.011627037101
"65",485,83,402,185.535536051221,178.580818415322
"66",480,82,398,192.826428803482,177.477234192703
"67",465,78,387,189.768055529248,176.896154308954
"68",495,92,403,193.427206520305,172.544433397052
"69",494,82,412,191.575419584749,181.793701539418
"70",469,82,387,198.896939014847,175.914621891849
"71",504,88,416,192.976170310824,176.201821147816
"72",491,81,410,202.088914119534,171.62924956362
"73",475,78,397,207.207962136604,175.598372370496
"74",472,81,391,195.815021545892,178.408308492127
"75",488,81,407,198.870871690518,174.480825897152
"76",474,75,399,200.633793633632,179.855920441376
"77",485,85,400,198.789028468156,174.031421564497
"78",478,82,396,195.619987527585,180.750140288198
"79",475,82,393,188.566772947648,176.604503518191
"80",484,81,403,188.113274775453,176.616220005716
