"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mti_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord","class_well","class_stage","bool"
"1",12,0.151612,0.898011,0.803116,1.74582,3,2,1.4,1.25893e+11,57.7173,71.1352,77.4826,0.316804,0.551135,-0.132061,5.908000694,1776.563361,633.1672655,-2081.54,3,2,0
"2",13,0.158204,0.751182,0.626167,2.03682,3,2,1.1,44668359215,264.602,79.6819,-148.558,0.290146,0.458181,0.251672,5.935426181,1960.743465,1793.90426,-2231.01,3,2,1
"3",14,0.222993,0.503837,0.404855,2.22672,3,2,1,31622776602,269.177,82.644,-139.443,0.229762,0.559823,0.210415,5.754712616,1835.274437,1742.596592,-2161.06,3,2,1
"4",15,0.316906,0.540099,0.380463,1.33427,4,3,1,31622776602,302.341,89.8739,175.01,0.960786,-0.00786885,-0.0313452,6.129970579,1790.613573,1700.283322,-2099.11,3,2,1
"5",16,0.34639,0.599507,0.395388,2.67012,3,2,0.9,22387211386,279.439,75.5876,-151.421,0.236362,0.570988,0.19265,5.783012222,1799.211992,1711.483894,-2105.31,3,2,1
"6",17,0.316144,3.97583,0.879091,3.67105,3,2,0.9,22387211386,121.604,87.7457,6.59236,0.85634,0.131405,-0.0122546,5.836248634,1708.263917,1682.223815,-2100.45,3,2,1
"7",18,0.230219,0.943983,0.672048,1.73271,3,2,0.9,22387211386,270.171,75.969,-146.191,0.412232,0.320037,0.267731,5.914519074,1787.2831,1721.998571,-2158.89,3,2,1
"8",19,0.27629,0.571701,0.407312,3.31535,3,2,0.9,22387211386,120.093,88.7942,-173.129,0.755909,0.176263,-0.0678278,5.981727199,2032.62794,1737.576134,-2118.8,3,2,1
"9",20,0.232021,0.546109,0.458444,1.30487,4,3,0.9,22387211386,273.496,81.0149,30.0004,0.192568,-0.678474,-0.128958,6.045379907,1848.751893,1738.311525,-2158.91,3,2,1
"10",21,0.257671,0.743545,0.75539,1.82989,4,3,0.9,22387211386,263.65,85.5868,42.4264,0.220681,-0.559997,-0.219323,6.091511366,1788.053847,1723.349145,-2158.94,3,2,1
"11",22,0.222348,1.27121,0.992727,6.82738,2,8,0.9,22387211386,120.604,88.2557,6.61766,0.842204,-0.0990554,0.0587402,6.152492384,1924.214328,1708.81103,-2104.72,3,2,1
"12",109,0.15939,1.41379,1.13407,4.01686,3,2,0.8,15848931925,281.409,79.4195,-142.271,0.257551,0.447721,0.294728,5.713559028,1823.296048,1794.172961,-2218.93,3,2,1
"13",110,0.220595,0.847531,1.65251,2.38301,3,2,0.8,15848931925,276.023,74.5063,-156.548,0.28427,0.514327,0.201403,5.714175301,1767.88009,1712.410204,-2159.16,3,2,1
"14",111,0.22928,0.871259,0.712233,3.02876,3,2,0.8,15848931925,278.061,75.1015,30.1146,0.381612,-0.358227,-0.260161,5.925269097,1762.866703,1720.959124,-2170.83,3,2,1
"15",112,0.180494,1.72929,0.659581,3.02087,4,3,0.8,15848931925,122.281,87.6083,7.77656,0.756034,-0.179327,0.0646388,6.149882824,2069.793472,1831.225356,-2248.86,3,2,1
"16",254,0.321439,0.894589,0.591618,3.11786,3,2,0.489704671,5426964823,121.842,88.4567,5.59176,0.942499,0.0280301,0.0294706,5.839296019,1783.188952,1699.222662,-2099.25,3,2,1
"17",289,0.10236,2.94093,2.13181,10.6111,3,2,0.435011916,4492808151,124.362,86.0411,9.93104,0.915904,0.0682425,0.0158533,5.732497199,2058.211063,1948.873782,-2348.1,3,2,1
"18",313,0.187078,0.935517,0.504328,2.79897,4,3,0.401403352,4000414825,122.826,87.9906,7.19509,0.783603,-0.157941,0.0584555,6.060672963,2007.766066,1808.399949,-2203.99,3,2,1
"19",325,0.252323,0.877463,0.606954,5.0618,3,2,0.37473275,3648372092,122.203,88.5457,8.22218,0.701237,-0.219582,0.0791813,5.679531088,2023.188064,1736.409408,-2128.61,3,2,1
"20",378,0.279425,1.29308,0.849148,3.73928,3,2,0.304587263,2863392575,123.139,87.2032,-171.721,0.918909,-0.0618616,-0.0192297,5.67237794,1676.111772,1677.606408,-2110.96,3,2,1
"21",385,0.170495,1.6575,1.56508,3.95709,3,2,0.300487559,2823132999,122.786,87.2804,-172.256,0.815847,0.129132,-0.0550214,5.671177153,2002.370841,1810.966747,-2233.94,3,2,1
"22",411,0.190295,2.72375,1.60137,10.5224,3,2,0.258093916,2438601710,119.844,86.2623,173.916,0.955109,0.040479,-0.00441251,5.821754954,1887.755903,951.8956471,-2128.73,3,2,0
"23",437,0.225961,2.03566,1.23238,5.53194,3,2,0.226512678,2186598355,123.238,87.6911,-170.609,0.817196,0.137221,-0.0455832,5.764799167,1913.940067,1704.236049,-2099,3,2,1
"24",464,0.238104,2.41428,1.40758,5.09343,3,2,0.192859064,1946653236,121.949,87.6591,6.85729,0.834245,-0.106929,0.0588257,5.752215833,1775.325924,1702.135942,-2099.04,3,2,1
"25",472,0.152245,3.86677,3.03112,21.8486,3,2,0.185921103,1900560306,123.419,86.8107,9.07517,0.71711,-0.210889,0.0720009,5.654685347,2096.769596,1842.432998,-2291.7,3,2,1
"26",496,0.134035,3.75217,3.36217,10.0974,3,2,0.157133071,1720678002,294.597,89.9322,-174.966,0.964008,-0.0226567,0.0133356,5.844083796,2832.231359,1335.366726,-2398.99,3,2,1
"27",541,0.193139,1.80798,2.09779,6.14368,3,2,0.116045926,1493031220,120.595,86.5238,7.52228,0.917759,-0.0497671,0.032474,5.849986736,1999.542414,1810.966747,-2219.02,3,2,1
"28",611,0.279374,2.10017,1.39139,10.8194,3,2,0.058830276,1225308409,122.085,85.8604,-175.725,0.920656,-0.0504429,-0.0289011,5.965390046,1813.665254,1702.687485,-2098.86,3,2,1
"29",633,0.123997,4.34719,3.33058,8.47625,4,3,0.041890839,1155676437,243.491,46.2875,-86.4295,0.429819,-0.0356485,0.534532,6.063994259,2555.660684,790.2793212,-2210.17,3,2,1
"30",723,0.171849,1.87782,1.56426,4.78924,3,2,-0.019965136,933366686.3,279.31,52.0652,79.2713,0.374,0.120838,-0.505163,5.849144491,1929.362066,1792.05164,-2219.03,3,2,1
"31",852,0.158513,2.32752,1.04794,5.16389,3,2,-0.103986544,698264855.5,268.115,51.405,-95.3891,0.346475,-0.124705,0.52882,5.700099028,2022.042551,1863.419928,-2248.75,3,2,1
"32",865,0.280589,2.20095,1.41116,6.67854,3,2,-0.113672658,675291079.8,122.911,86.2619,6.7038,0.90054,-0.0461713,0.0532884,5.704411088,1788.782167,1711.307117,-2107.88,3,2,1
"33",979,0.211558,2.13933,1.53382,4.64816,3,2,-0.168545621,558703727.1,119.506,86.1448,-175.255,0.859027,0.0878163,-0.0531566,5.693740347,2050.942006,1758.860048,-2128.94,3,2,1
"34",991,0.179774,2.44368,1.21932,5.88281,3,2,-0.17305079,550077416.1,271.445,51.2077,-92.9251,0.437732,-0.0231074,0.539161,5.68709125,2107.043858,1851.957727,-2266.96,3,2,1
"35",1001,0.107473,5.79537,5.16436,33.9706,4,3,-0.178817407,539229805.5,250.835,45.0577,-90.294,0.236053,0.168023,0.595924,6.017348403,2576.746608,789.6994937,-2302.9,3,2,1
"36",1064,0.18299,1.25121,0.705675,3.14199,3,2,-0.20710987,489029654.2,266.312,52.316,84.2978,0.43633,-0.00653527,-0.557135,5.76038088,2008.847939,1822.874425,-2248.88,3,2,1
"37",1086,0.194375,3.18624,2.11469,7.73007,3,2,-0.216886088,472792815,273.837,54.2101,82.8289,0.345287,-0.0839756,-0.570737,5.748202639,1981.207135,1808.088822,-2248.86,3,2,1
"38",1099,0.303343,4.45311,2.42826,11.4556,3,2,-0.225040444,459662774.4,296.85,89.654,0.571537,0.966755,0.0186158,0.0146288,5.900573426,2496.355638,936.5585011,-2295.39,3,2,1
"39",1135,0.192295,3.25723,3.05713,17.7152,3,2,-0.241123899,434824645.4,250.148,46.6106,87.9394,0.0609519,-0.292442,-0.646607,5.683483171,2088.220675,568.2902183,-2248.85,3,2,0
"40",1152,0.121909,0.769378,0.791634,1.4888,3,2,-0.247926705,424727070.8,268.605,52.181,-96.282,0.383425,-0.0741429,0.542432,5.699607593,2016.13821,1793.663844,-2224.23,3,2,1
"41",1177,0.176962,1.11154,0.778645,3.12539,3,2,-0.255720648,413446222.2,269.788,53.1501,81.6523,0.364227,0.0925212,-0.543251,5.71308978,2005.623532,1813.37091,-2218.9,3,2,1
"42",1194,0.169656,3.30762,4.39298,21.2485,3,2,-0.264280469,401401782.3,272.47,52.5043,85.2289,0.410349,0.0389783,-0.550672,5.645836319,2103.246694,1865.654385,-2321.6,3,2,1
"43",1228,0.114861,7.04635,4.88396,23.6411,3,2,-0.279778252,380480691.3,125.065,88.9523,1.40654,0.821704,-0.120979,0.0573168,5.74688412,1880.246429,1754.193143,-2183.78,3,2,1
"44",1235,0.145252,3.05055,5.22317,76.0377,3,2,-0.282030837,377531978.9,270.665,53.285,-93.3502,0.365948,-0.0945632,0.539488,5.660751759,2099.202043,1888.790919,-2330.71,3,2,1
"45",1267,0.117847,7.38013,7.24067,15.449,4,3,-0.295276034,360650010.4,219.168,45.9316,-86.7868,0.253876,0.175459,0.570665,6.028803194,2462.499365,664.9446443,-2324.88,3,2,1
