"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mit_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord"
"12",12,0.151612,0.898011,0.803116,1.74582,3,2,1.4,125892541179.42,57.7173,71.1352,77.4826,0.316804,0.551135,-0.132061,5.61633402777767,1352.83531342353,633.167265522718,-2081.54
"13",13,0.158204,0.751182,0.626167,2.03682,3,2,1.1,44668359215.1,264.602,79.6819,-148.558,0.290146,0.458181,0.251672,5.6437595138892,1680.02886233192,1793.90426004389,-2231.01
"14",14,0.222993,0.503837,0.404855,2.22672,3,2,1,31622776601.68,269.177,82.644,-139.443,0.229762,0.559823,0.210415,5.46304594907496,1565.42051468363,1742.59659200096,-2161.06
"16",16,0.34639,0.599507,0.395388,2.67012,3,2,0.9,22387211385.68,279.439,75.5876,-151.421,0.236362,0.570988,0.19265,5.49134555555604,1530.08294257727,1711.48389362875,-2105.31
"17",17,0.316144,3.97583,0.879091,3.67105,3,2,0.9,22387211385.68,121.604,87.7457,6.59236,0.85634,0.131405,-0.0122546,5.54458196759224,1448.16886617638,1682.22381502329,-2100.45
"18",18,0.230219,0.943983,0.672048,1.73271,3,2,0.9,22387211385.68,270.171,75.969,-146.191,0.412232,0.320037,0.267731,5.62285240740688,1521.44083579605,1721.99857146503,-2158.89
"19",19,0.27629,0.571701,0.407312,3.31535,3,2,0.9,22387211385.68,120.093,88.7942,-173.129,0.755909,0.176263,-0.0678278,5.69006053240763,1733.13703692499,1737.57613385455,-2118.8
"109",109,0.224892,1.35823,0.924569,2.13624,3,2,0.8,15848931924.61,273.416,77.0001,-149.392,0.379196,0.392465,0.228338,5.30066342592515,1561.0893206059,1737.62563132924,-2128.95
"110",110,0.15939,1.41379,1.13407,4.01686,3,2,0.8,15848931924.61,281.409,79.4195,-142.271,0.257551,0.447721,0.294728,5.42189236111111,1562.74950455685,1794.1729606207,-2218.93
"111",111,0.220595,0.847531,1.65251,2.38301,3,2,0.8,15848931924.61,276.023,74.5063,-156.548,0.28427,0.514327,0.201403,5.42250863425985,1503.47514678173,1712.41020351214,-2159.16
"112",112,0.22928,0.871259,0.712233,3.02876,3,2,0.8,15848931924.61,278.061,75.1015,30.1146,0.381612,-0.358227,-0.260161,5.63360243055556,1500.44791373471,1720.95912449666,-2170.83
"247",247,0.230251,1.03499,0.772186,2.37256,3,2,0.506599056,5753055768.84,123.814,87.1491,7.18757,0.891416,0.103888,-0.00469668,5.36696409722169,1466.76405012733,1714.82143763597,-2188.88
"255",255,0.321439,0.894589,0.591618,3.11786,3,2,0.489704671,5426964822.52,121.842,88.4567,5.59176,0.942499,0.0280301,0.0294706,5.54762935185322,1514.61080695352,1699.222662043,-2099.25
"290",290,0.10236,2.94093,2.13181,10.6111,3,2,0.435011916,4492808150.73,124.362,86.0411,9.93104,0.915904,0.0682425,0.0158533,5.44083053240622,1785.91742277373,1948.87378220872,-2348.1
"326",326,0.252323,0.877463,0.606954,5.0618,3,2,0.37473275,3648372092.35,122.203,88.5457,8.22218,0.701237,-0.219582,0.0791813,5.387864421297,1724.9087360661,1736.40940766557,-2128.61
"379",379,0.279425,1.29308,0.849148,3.73928,3,2,0.304587263,2863392575.23,123.139,87.2032,-171.721,0.918909,-0.0618616,-0.0192297,5.3807112731481,1420.04908986555,1677.60640774212,-2110.96
"386",386,0.170495,1.6575,1.56508,3.95709,3,2,0.300487559,2823132999.47,122.786,87.2804,-172.256,0.815847,0.129132,-0.0550214,5.37951048611215,1718.05879375119,1810.96674667388,-2233.94
"412",412,0.190295,2.72375,1.60137,10.5224,3,2,0.258093916,2438601709.99,119.844,86.2623,173.916,0.955109,0.040479,-0.00441251,5.53008828703728,1494.42077490424,951.895647142554,-2128.73
"433",433,0.127819,10.7116,4.50115,18.9484,3,2,0.229305883,2207795401.81,29.2455,88.7941,176.536,0.357123,-0.486468,0.156409,5.66997018518547,3785.45953084849,3415.32132250806,-2395.06
"438",438,0.225961,2.03566,1.23238,5.53194,3,2,0.226512678,2186598354.77,123.238,87.6911,-170.609,0.817196,0.137221,-0.0455832,5.47313250000002,1626.94805794744,1704.23604912159,-2099
"465",465,0.238104,2.41428,1.40758,5.09343,3,2,0.192859064,1946653235.79,121.949,87.6591,6.85729,0.834245,-0.106929,0.0588257,5.46054916666614,1508.32593321937,1702.13594198148,-2099.04
"473",473,0.152245,3.86677,3.03112,21.8486,3,2,0.185921103,1900560305.56,123.419,86.8107,9.07517,0.71711,-0.210889,0.0720009,5.3630186805543,1803.24129727679,1842.43299843669,-2291.7
"497",497,0.134035,3.75217,3.36217,10.0974,3,2,0.157133071,1720678001.98,294.597,89.9322,-174.966,0.964008,-0.0226567,0.0133356,5.55241712962864,2356.73904243841,1335.36672564783,-2398.99
"542",542,0.193139,1.80798,2.09779,6.14368,3,2,0.116045926,1493031219.57,120.595,86.5238,7.52228,0.917759,-0.0497671,0.032474,5.5583200694455,1715.64458018881,1810.96674667388,-2219.02
"612",612,0.279374,2.10017,1.39139,10.8194,3,2,0.058830276,1225308409.05,122.085,85.8604,-175.725,0.920656,-0.0504429,-0.0289011,5.67372337963018,1541.13136970199,1702.68748527083,-2098.86
"725",725,0.171849,1.87782,1.56426,4.78924,3,2,-0.019965136,933366686.3,279.31,52.0652,79.2713,0.374,0.120838,-0.505163,5.55747782407535,1652.97185297406,1792.05164027714,-2219.03
"817",817,0.151876,5.63847,7.45579,35.1877,3,2,-0.080694819,756759308.17,75.6712,49.5221,-90.2016,0.0611929,0.275562,0.663245,5.21827092592639,2390.01651712146,1407.80274431258,-2299.64
"854",854,0.158513,2.32752,1.04794,5.16389,3,2,-0.103986544,698264855.45,268.115,51.405,-95.3891,0.346475,-0.124705,0.52882,5.40843236111104,1742.53123959168,1863.41992770234,-2248.75
